Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
Q9XCR9	BAC0352	sitD	"Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))"	Escherichia coli (strain SMS-3-5 / SECEC	"Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]"	sitD encode a permease (integral membrane protein); part of the sitABCD transport system
A7VN01	BAC0353	smdA	Chromosome	Serratia marcescens	"4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide]"	Multidrug efflux pump SmdA
A7VN02	BAC0354	smdB	Chromosome	Serratia marcescens	"4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Hoechst 33342 [class: Bisbenzimide]"	Multidrug efflux pump SmdB
I0KSX9	BAC0358	smeD	Chromosome	Stenotrophomonas maltophilia	"Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Membrane fusion protein of RND family multidrug efflux pump smeD; part of the smeDEF efflus system. It confers resisance to a wide range of antibiotics.
I0KSX8	BAC0359	smeE	Chromosome	Stenotrophomonas maltophilia	"Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"RND efflux system, inner membrane transporter smeE; part of the smeDEF efflus system. It confers resisance to a wide range of antibiotics."
Q9F239	BAC0360	smeF	Chromosome	Stenotrophomonas maltophilia	"Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Proflavin [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Multidrug resistance outer membrane protein smeF; part of the smeDEF efflus system. It confers resisance to a wide range of antibiotics.
Q5MXJ5	BAC0362	smeT	Chromosome	Stenotrophomonas maltophilia	Triclosan [class: Phenolic compounds]	SmeT repressor protein for the the multidrug efflux system smeDEF
Q2AAU2	BAC0363	smfY	Chromosome	Serratia marcescens	"Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]"	Multidrug efflux pump SmfY
C7SLZ1	BAC0364	smrA	Chromosome	Stenotrophomonas maltophilia	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine]"	ABC-type multidrug efflux pump protein SmrA
P30331	BAC0365	smtA	Chromosome	Cyanobacteria (e.g. Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)); Escherichia coli (strain K12)	"Zinc (Zn), Mercury (Hg)"	Metallothionein SmtA; Contain 9 cysteine residues; plays a role in essential metal ion homeostasis (especially zinc homeostasis) and resistance to certain non-essential metal ions. Metallothioneins have a high content of cysteine residues that bind various heavy metals. Cells that lack of metallothionein have reduced uptake of Zn++ and reduced tolerance to high Zn++ concentrations (althogh the Cu++ and Hg++ tolerances are unchanged); often Cd++ resistant  when cells grow in high level of Cd++.
P30340	BAC0366	smtB/ziaR	Chromosome	Cyanobacteria (e.g. Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2))	Zinc (Zn)	Repressor protein smtB; regulates the metallothionein synthesis in transcrition level negatively; its a helix-turn-helix protein in the same family of arsR and cadC; binds  at imperfect inverted repeat TGAAACA-GT-TATTCA between the transcription initiation site and the ribosome binding site for smtA; Transcriptional repressor of the Expression of the smtA gene. Binds two zinc ions per dimer. The complex of DNA and smtB is dissociated by zinc ions.
D0ZXQ3	BAC0367	smvA/emrB	Chromosome	Salmonella typhimurium	"Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine]"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
P00448	BAC0368	sodA	Chromosome	Escherichia coli K12	"Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"	Mn-dependent superoxide dismutase; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.
P53652	BAC0705	sodA	Chromosome	Pseudomonas aeruginosa	Hydrogen Peroxide (H2O2) [class: Peroxides]	Mn-dependent superoxide dismutase; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.
P53641	BAC0706	sodB	Chromosome	Pseudomonas aeruginosa	Hydrogen Peroxide (H2O2) [class: Peroxides]	Fe-dependent superoxide dismutase; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.
P0AGD3	BAC0707	sodB	Chromosome	Escherichia coli K12	"Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"	Fe-dependent superoxide dismutase. Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.
P0ACS2	BAC0370	soxR	Chromosome	Escherichia coli (strain K12)	Methyl Viologen [class: Paraquat]	"Redox-sensitive transcriptional activator SoxR; Activates the transcription of the soxS gene which itself controls the superoxide response regulon. SoxR contains a 2Fe-2S iron-sulfur cluster that may act as a redox sensor system that recognizes superoxide. The variable redox state of the Fe-S cluster is employed in vivo to modulate the transcriptional activity of SoxR in response to specific types of oxidative stress. Upon reduction of 2Fe-2S cluster, SoxR reversibly loses its transcriptional activity, but retains its DNA binding affinity."
P0A9E2	BAC0371	soxS	Chromosome	Escherichia coli (strain K12)	"Zinc (Zn), Cyclohexane [class: Cycloalkane]"	"Regulatory protein SoxS; Increases the Zn uptake system znuACB; Transcriptional activator of the superoxide response regulon of E.coli that includes at least 10 genes such as sodA, nfo, zwf and micF. Binds the DNA sequence 5'-GCACN7CAA-3'. It also facilitates the subsequent binding of RNA polymerase to the micF and the nfo promoters."
O31099	BAC0372	srpA	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]"	"Solvent-resistant efflux pump periplasmic linker SrpA; a component of an organic solvent efflux pump srpABC. Involved in export of a number of low log POW compounds including hexane (log POW 3.5), toluene (log POW 2.5) and dimethylphthalate (log POW 2.3). The solvent resistance phenotype has been postulated to depend on the operon Expression level."
O31100	BAC0373	srpB	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]"	"Solvent-resistant pump membrane transporter SrpB; The inner membrane transporter component of an organic solvent efflux pump srpABC. Involved in export of a number of low log POW compounds including hexane (log POW 3.5), toluene (log POW 2.5) and dimethylphthalate (log POW 2.3). The solvent resistance phenotype has been postulated to depend on the operon expression level."
O31101	BAC0374	srpC	Chromosome	Pseudomonas putida	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]"	"Solvent-resistant efflux pump outer membrane protein SrpC; The outer membrane component of an organic solvent efflux pump srpABC. Involved in export of a number of low log POW compounds including hexane (log POW 3.5), toluene (log POW 2.5) and dimethylphthalate (log POW 2.3). The solvent resistance phenotype has been postulated to depend on the operon expression level."
Q55027	BAC0152	srpC	Plasmid pANL	Synechococcus elongatus strain PCC 7942 (Anacystis nidulans R2)	Chromium (Cr)	A homologue of chrA. SrpC is not a sulfate transporter. Functions as a transporter that extrudes chromate ions from cytoplasm under sulfur-deficient conditions.
Q9R9T9	BAC0375	srpR	Chromosome	Pseudomonas putida	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]"	Solvent efflux pump srpABC operon corepressor SrpR; In conjunction with SrpS represses the srpABC operon.
Q9R9U0	BAC0376	srpS	Chromosome	Pseudomonas putida	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate]"	Solvent efflux pump srpABC operon corepressor SrpS; In conjunction with SrpR represses the srpABC operon.
A7VN75	BAC0377	ssmE	Chromosome	Serratia marcescens	"Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Chlorhexidine [class: Biguanides]"	Multidrug efflux pump SsmE
P69937	BAC0378	sugE	"Plasmid IncN p541 (Escherichia coli), Plasmid pIW759 (Salmonella typhimurium)"	"only gram -ve, Escherichia coli"	"Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Quaternary ammonium compound-resistance protein sugE, Quaternary ammonium compound efflux pump. Confers resistance to cetylpyridinium, cetyldimethylethyl ammonium and cetrimide cations; Unlike the other members of the SMR family, SugE exhibits a narrow specificity for a very specific class of compounds."
Q71UZ7	BAC0379	tbtA	Chromosome	Pseudomonas stutzeri (Pseudomonas perfectomarina)	"Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]"	"Tributyltin chloride resistance membrane fusion protein TbtA; has 4 characteristic motifs A, B, C and D; part of the tbtABM efflux system"
Q71UZ6	BAC0380	tbtB	Chromosome	Pseudomonas stutzeri (Pseudomonas perfectomarina)	"Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]"	Resistance nodulation cell division family member TbtB; Aanalogous to proton dependent efflux pump belonging to RND family; part of the tbtABM efflux system
Q71UZ5	BAC0381	tbtM	Chromosome	Pseudomonas stutzeri	"Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]"	"Outer membrane protein TbtM, part of the tbtABM efflux system"
Q71UZ4	BAC0382	tbtR	Chromosome	Pseudomonas stutzeri 	"Tributyltin (TBT) [class: Organo-tin], n-hexane [class: Alkane]"	"Efflux pump regulator; a potential regulatory gene of tbtABM, named tbtR, is identified upstream of the operon; TbtR exhibited many similarities with other repressors of the RND efflux systems"
Q3MNJ6	BAC0741	tcrA	Plasmid	Enterococcus faecium	Copper (Cu)	tcrA
Q8VPE6	BAC0383	tcrB	"Plasmid pA17sv1 (Enterococcus faecium),"	Enterococcus faecium (Streptococcus faecium)	Copper (Cu)	"The transferable, plasmid-localized Copper resistance efflux ATPase, TcrB"
Q3MNJ7	BAC0740	tcrY	Plasmid	Enterococcus faecium	Copper (Cu)	"Copper transport repressor, CopY/TcrY family"
Q3MNJ5	BAC0742	tcrZ	Plasmid	Enterococcus faecium	Copper (Cu)	tcrZ
P25396	BAC0384	tehA	Chromosome	Escherichia coli (strain K12)	"Tellurium (Te), Proflavin [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat]"	"Tellurite resistance protein TehA; The gene encodes an integral membrane protein. Responsible for potassium tellurite resistance when present in high copy number. Ion channel involved in potassium tellurite resistance, otherwise phenotypically silent"
P25397	BAC0385	tehB	Chromosome	Escherichia coli (strain K12)	"Tellurium (Te), Proflavin [class: Acridine]"	S-adenosyl-L-methionine dependent methyltransferase tehB that catalyzes the methylation of tellurite and is responsible for tellurite resistance when present in high copy number. Can also methylate selenite and selenium dioxide. Is thus able to detoxify different chalcogens. Can not methylate arsenic compounds
P18778	BAC0386	terA	"Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pK2044 (Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044)"	Alcaligenes sp.	Tellurium (Te)	Tellurium resistance protein TerA; Response to tellurium ion
P18779	BAC0387	terB	"Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pPag2 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))"	Alcaligenes sp.	Tellurium (Te)	Tellurium resistance protein TerB; terBCDE genes are essential for the resistance
P18780	BAC0388	terC	"Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid pK2044 (Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 )"	Alcaligenes sp.	Tellurium (Te)	Tellurium resistance protein TerC; Could conceivably alter the intracellular level of tellurium in a manner leading to resistance. Alternatively its presence in the membrane may provide a barrier to entry of the tellurium ions.
P18781	BAC0389	terD	"Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae)"	Alcaligenes sp.	Tellurium (Te)	Tellurium resistance protein TerD; Contribute to the tellurium resistance (Ter) mechanism.
P18782	BAC0390	terE	"Plasmid IncHI2 pMER610 (Alcaligenes sp.), Plasmid IncHI2 R478 (Serratia marcescens)"	Alcaligenes sp.	Tellurium (Te)	Tellurium resistance protein TerE; Contribute to the tellurium resistance (Ter) mechanism
P75010	BAC0391	terW	"Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae), Plasmid pEC-IMP (Enterobacter cloacae)"	Serratia marcescens subsp. Marcescens	Tellurium (Te)	Tellurium resistance protein TerW; ter operon (terZABCDE) is naturally controlled by the terW gene product
Q52353	BAC0392	terZ	"Plasmid IncHI2 R478 (Serratia marcescens), Plasmid pK29 (Klebsiella pneumoniae)"	Serratia marcescens subsp. Marcescens	Tellurium (Te)	Tellurium resistance protein TerZ; Contribute to the tellurium resistance (Ter) mechanism. Also involved in phage inhibition (Phi) and colicin resistance (PacB).
P02930	BAC0393	tolC	Chromosome	Escherichia coli (strain K12)	"Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Taurodeoxycholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Proflavin [class: Acridine], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 6G [class: Xanthene], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Plumbagin [class: Naphthoquinone]"	"Required for proper expression of outer membrane protein genes such as ompF, nmpC, protein 2, hemolysin, colicin V, or colicin E1. May be specialized for signal sequence independent, extracellular secretion in Gram-negative bacteria. Required for acrAB, mar efflux pumps to act as multidrug efflux pump."
R4ITT0	BAC0507	tolCsm	Chromosome	Stenotrophomonas maltophilia (strain K279a)	"Acriflavine [class: Acridine], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Crystal Violet [class: Triarylmethane], Methyl Viologen [class: Paraquat], Plumbagin [class: Naphthoquinone], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide], Menadione [class: Naphthoquinone]"	"Outer membrane protein. pcm and tolCsm genes form an operon. A significant feature of TolCsm different from that of other tolC homologues of Enterobacteriaceae is that tolCsm is not transcribed alone, but is transcribed with the pcm gene."
O33548	BAC0394	trgA	Chromosome	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	Tellurium (Te)	"Tellurite resistance protein TrgA; Confers tellurite resistance; membrane associated protein; Together with TrgB, it forms an operon; trgA gene alone does not encode resistance."
O07841	BAC0395	trgB	Chromosome	"Rhodobacterales bacterium Y4I, Rhodobacter capsulatus"	"Tellurium (Te), Copper (Cu)"	"Tellurite resistance protein TrgB; Together with TrgA, it forms an operon"
Q663F0	BAC0396	triA	"Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid pCROD2 (Citrobacter rodentium (strain ICC168))"	Yersinia pseudotuberculosis serotype I (strain IP32953)	Triclosan [class: Phenolic compounds]	Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein TriA; Part of the TriABC-opmH triclosan efflux pump system. TriABC-opmH is the only known RND pump system requires two MFPs (TriA and TriB) to work
Q663E9	BAC0397	triB	"Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid p29930 (Yersinia enterocolitica)"	Yersinia pseudotuberculosis serotype I (strain IP32953)	Triclosan [class: Phenolic compounds]	Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein TriB; Part of the TriABC-opmH triclosan efflux pump system. TriABC-opmH is the only known RND pump system requires two MFPs (TriA and TriB) to work
Q663E8	BAC0398	triC	"Plasmid pYptb32953 (Yersinia pseudotuberculosis serotype I (strain IP32953) ), Plasmid p29930 (Yersinia enterocolitica)"	Yersinia pseudotuberculosis serotype I (strain IP32953)	Triclosan [class: Phenolic compounds]	Resistance-Nodulation-Cell Division (RND) efflux transporter triC; Part of the TriABC-opmH triclosan efflux pump system; TriABC-opmH is the only known RND pump system requires two MFPs (TriA and TriB) to work
P96116	BAC0399	troA	Chromosome	Treponema pallidum (strain Nichols)	"Zinc (Zn), Manganese (Mn), Iron (Fe)"	"Periplasmic zinc-binding protein TroA; encodes the solute binding protein (SBP), Part of an ATP-driven transport system TroABCD for zinc. Substrate-binding protein involved in the transport of zinc across the cytoplasmic membrane."
P96117	BAC0400	troB	Chromosome	Treponema pallidum (strain Nichols)	"Zinc (Zn), Manganese (Mn), Iron (Fe)"	Zinc transport system ATP-binding protein TroB; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc
P96118	BAC0401	troC	Chromosome	Treponema pallidum (strain Nichols)	"Zinc (Zn), Manganese (Mn), Iron (Fe)"	Zinc transport system membrane protein TroC; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc
P96119	BAC0402	troD	Chromosome	Treponema pallidum (strain Nichols)	"Zinc (Zn), Manganese (Mn), Iron (Fe)"	Zinc transport system membrane protein TroD; Part of an ATP-driven transport system TroABCD for zinc.
P96120	BAC0403	troR	Chromosome	Treponema pallidum (strain Nichols)	"Zinc (Zn), Manganese (Mn), Iron (Fe)"	An iron activated repressor protein TroR of the troABCD transport system
Q9WWZ9	BAC0404	ttgA	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"Toluene efflux pump periplasmic linker protein TtgA; The periplasmic linker protein component of a constitutive organic solvent efflux system ttgABC. Involved in export of toluene, styrene, m-xylene, propylbenzene and ethylbenzene. Also Exports AMP and the antibiotics carbenicillin, nalidixic acid, chloramphenicol and tetracycline."
O52248	BAC0405	ttgB	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"The inner membrane transporter component, ttgB of a constitutive organic solvent efflux system ttgABC. Involved in export of toluene, styrene, m-xylene, propylbenzene and ethylbenzene. Also Exports AMP and the antibiotics carbenicillin, nalidixic acid, chloramphenicol and tetracycline."
Q9WWZ8	BAC0406	ttgC	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"The outer membrane component ttgC of a constitutive organic solvent efflux system ttgABC. Is involved in Export of toluene, styrene, m-xylene, propylbenzene and ethylbenzene. Also exports AMP and the antibiotics carbenicillin, nalidixic acid, chloramphenicol and tetracycline."
Q9KWV5	BAC0407	ttgD	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	"The periplasmic linker protein component, ttgD of an inducible organic solvent efflux pump ttgDEF. Involved in export of toluene and styrene but not of m-xylene, propylbenzene or ethylbenzene. Is not involved in antibiotic or AMP efflux"
Q9KWV4	BAC0408	ttgE	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	"The inner membrane transporter component, ttgE of an inducible organic solvent efflux pump ttgDEF. Involved in export of toluene and styrene but not of m-xylene, propylbenzene or ethylbenzene. Is not involved in antibiotic or AMP efflux."
Q9KWV3	BAC0409	ttgF	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	"The outer membrane component, ttgF of an inducible organic solvent efflux pump ttgDEF. Involved in export of toluene and styrene but not of m-xylene, propylbenzene or ethylbenzene. Is not involved in antibiotic or AMP efflux."
Q93PU5	BAC0410	ttgG	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"The periplasmic linker component ttgG, of an organic solvent efflux pump ttgGHI. Involved in export of a number of organic solvents, including toluene and styrene. This is the most important solvent efflux pump in this strain, although it can Export AMP and some antibiotics."
Q93PU4	BAC0411	ttgH	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"The inner membrane transporter component, ttgH of an organic solvent efflux pump ttgGHI. Involved in Export of a number of organic solvents, including toluene and styrene. This is the most important solvent efflux pump in this strain, although it can Export AMP and some antibiotics"
Q93PU3	BAC0412	ttgI	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	"The outer membrane component, ttgI of an organic solvent efflux pump ttgGHI. Involved in export of a number of organic solvents, including toluene and styrene. This is the most important solvent efflux pump in this strain, although it can Export AMP and some antibiotics."
Q9AIU0	BAC0413	ttgR	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"n-hexane [class: Alkane], Toluene [class: Aromatic hydrocarbons], Dimethylphthalate [class: Pthalate], Styrene [class: Polystyrenes], m-xylene [class: Aromatic hydrocarbons], Ethylbenzene [class: Aromatic hydrocarbons], Propylbenzene [class: Aromatic hydrocarbons]"	Toluene efflux pump ttgABC operon repressor ttgR; Represses expression from the ttgABC operon promoter and its own expression. Binds to a promoter region between the divergently transcribed ttgR and ttgABC genes/operons; in the presence of chloramphenicol or tetracycline this binding no longer occurs and ttgR and ttgABC are derepressed. This suggests that TtgR binds these antibiotics.
E0X9D2	BAC0414	ttgT	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	Regulator of the ttgDEF efflux pump ttgT; Can regulate the ttgDEF system expression in ttgV-deficient condition; effect of TtgT on ttgGHI Expression is not obvious when TtgV is present but becomes relevant in its absence
Q93PU6	BAC0415	ttgV	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	"HTH-type transcriptional regulator TtgV; Represses the expression of the ttgGHI and ttgVW operons. Binds to the ttgGHI / ttgVW intergenic region, probably preventing binding of RNA polymerase; ttgV dissociates from this region in the presence of 1-hexanol, can regulate the ttgDEF expression as well; The ttgVW operon is induced by toluene and styrene, but not by the antibiotics carbenicillin, chloramphenicol, nalidixic acid, tetracycline or gentamicin"
Q93PU7	BAC0416	ttgW	Plasmid pGRT1 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Toluene [class: Aromatic hydrocarbons], Styrene [class: Polystyrenes]"	"HTH-type transcriptional regulator TtgW; does not seem to be involved in regulation of the ttgGHI or ttgVW operons; The ttgVW operon is induced by toluene and styrene, but not by the antibiotics carbenicillin, chloramphenicol, nalidixic acid, tetracycline or gentamicin"
Q72FN4	BAC0601	tunR	Chromosome	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	"Tungsten (W), Molybdenum (Mo)"	"Tungstate-responsive regulator, TunR. It controls tungstate and molybdate homeostasis in sulfate-reducing deltaproteobacteria. TunR functions as an activator of the modA, modBC, and tunR genes in the absence of tungstate and repressed by tungstate. Regulates the ModABC transport system in Desulfovibrio spp."
Q93KD6	BAC0605	tupA	Chromosome	Eubacterium acidaminophilum	Tungsten (W)	Extracellular tungstate binding protein.
Q93KD5	BAC0606	tupB	Chromosome	Eubacterium acidaminophilum	Tungsten (W)	Permease component of tungstate ABC transporter. TupB is an inner membrane protein.
Q93KD4	BAC0607	tupC	Chromosome	Eubacterium acidaminophilum	Tungsten (W)	ATPase component of tungstate ABC transporter.
Q9KKV4	BAC0417	vcaM	Chromosome	Vibrio cholerae	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Acridine Orange [class: Acridine]"	"ABC transporter, ATP-binding protein VcaM; Inner membrane protein"
O51918	BAC0418	vceA	Chromosome	Vibrio cholerae	Sodium Deoxycholate (SDC) [class: Acid]	"Part of the The VceCAB multidrug (hydrophobic compounds including deoxycholate (DOC), antibiotics, such as chloramphenicol and nalidixic acid, and the proton motive force uncoupler, cyanide carbonyl m-chlorophenylhydrazone (CCCP)) resistance pump; Can function with outer membrane OprM, an OMF family member instead of VceC"
